Month and Year,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,Total Selected Miscellaneous Offences
Mar-12,0,0,0,0,0,7,6,1,12,9,3,30,15,15,45,4,35,6,6,1,5,8,2,6,1,0,1,4,1,3,113,100,79,21,26,181,0,0,0,0,4,177,134,16,118,6,1,5,0,447,560,110,11,62,32,4,1,9,8,1,19,138,13,4,0,0,4,29,17,4,8,46
Apr-12,0,0,0,0,0,23,19,4,9,9,0,28,12,16,37,11,23,3,3,1,2,11,2,9,0,0,0,0,0,0,111,96,72,24,18,171,0,0,0,0,2,169,142,21,121,3,0,3,0,430,541,57,7,30,16,4,0,7,5,2,11,75,9,3,1,0,2,21,14,2,5,33
May-12,1,0,0,0,1,5,4,1,0,0,0,34,14,20,54,16,31,7,3,2,1,8,6,2,0,0,0,5,0,5,110,117,90,27,16,186,0,0,0,0,0,186,125,12,113,3,0,3,0,447,557,55,10,30,13,1,1,7,2,5,10,72,5,193,0,0,193,19,11,5,3,217
Jun-12,0,0,0,0,0,19,12,7,0,0,0,27,7,20,34,17,14,3,4,2,2,11,2,9,0,0,0,0,0,0,95,113,73,40,20,157,0,0,0,0,0,157,145,14,131,3,0,3,0,438,533,77,7,43,25,2,0,2,0,2,11,90,17,27,1,0,26,17,3,5,9,61
Jul-12,0,0,0,0,0,4,4,0,0,0,0,34,13,21,34,9,19,6,1,1,0,9,3,6,0,0,0,2,0,2,84,75,51,24,26,162,0,0,0,0,0,162,133,19,114,5,0,5,0,401,485,87,6,50,27,3,1,3,3,0,15,105,13,9,2,0,7,21,10,4,7,43
Aug-12,0,0,0,0,0,6,6,0,1,1,0,41,10,31,42,9,25,8,6,5,1,12,4,8,1,0,1,3,0,3,112,91,73,18,21,153,0,0,0,0,0,153,132,14,118,4,0,4,0,401,513,114,14,58,34,6,2,7,7,0,19,140,4,17,2,0,15,27,16,3,8,48
Sep-12,3,1,0,1,1,7,6,1,2,2,0,40,18,22,43,14,27,2,0,0,0,8,7,1,1,0,1,0,0,0,104,79,50,29,16,148,0,0,0,0,3,145,136,19,117,2,1,1,0,381,485,96,11,49,32,4,0,10,7,3,2,108,3,11,0,0,11,24,12,8,4,38
Oct-12,0,0,0,0,0,4,2,2,3,3,0,43,16,27,38,14,22,2,6,6,0,9,4,5,0,0,0,3,0,3,106,106,60,46,31,193,0,0,0,0,1,192,189,27,162,3,1,2,0,522,628,71,5,34,27,5,0,8,4,4,20,99,20,148,2,0,146,23,13,3,7,191
Nov-12,1,1,0,0,0,16,14,2,16,14,2,27,14,13,34,11,20,3,5,2,3,12,2,10,0,0,0,3,0,3,114,113,78,35,26,153,0,0,0,0,1,152,111,17,94,1,0,1,0,404,518,64,3,37,22,2,0,6,4,2,13,83,5,151,1,0,150,42,9,29,4,198
Dec-12,0,0,0,0,0,7,5,2,13,11,2,51,22,29,42,14,16,12,5,3,2,9,4,5,1,0,1,1,0,1,129,98,56,42,25,131,0,0,0,0,1,130,126,17,109,1,0,1,0,381,510,67,0,34,27,5,1,4,3,1,8,79,5,29,0,0,29,96,80,4,12,130
Jan-13,0,0,0,0,0,10,5,5,22,22,0,49,19,30,46,17,23,6,15,8,7,12,8,4,1,0,1,2,1,1,157,120,83,37,34,193,0,0,0,0,1,192,157,29,128,4,3,1,0,508,665,73,5,44,19,5,0,5,4,1,21,99,11,8,0,0,8,26,10,6,10,45
Feb-13,0,0,0,0,0,16,5,11,0,0,0,65,16,49,59,22,30,7,7,7,0,9,5,4,0,0,0,3,0,3,159,106,59,47,19,170,0,0,0,0,1,169,132,20,112,7,2,5,0,434,593,70,5,31,25,8,1,8,4,4,8,86,2,39,6,0,33,33,21,2,10,74
Mar-13,0,0,0,0,0,11,10,1,1,1,0,71,26,45,58,11,37,10,5,3,2,12,7,5,1,0,1,3,0,3,162,80,58,22,21,159,0,0,0,0,0,159,121,27,94,6,1,5,0,387,549,97,8,45,36,5,3,10,5,5,19,126,8,153,0,0,153,27,15,8,4,188
Apr-13,0,0,0,0,0,6,4,2,13,13,0,52,12,40,37,13,19,5,7,6,1,10,5,5,1,0,1,1,0,1,127,118,83,35,18,189,0,0,0,0,2,187,118,13,105,1,0,1,0,444,571,51,4,27,14,6,0,14,11,3,19,84,9,255,8,0,247,46,29,9,8,310
May-13,0,0,0,0,0,7,6,1,0,0,0,50,14,36,40,11,24,5,8,3,5,7,4,3,2,0,2,4,0,4,118,90,65,25,27,185,0,0,0,0,0,185,120,12,108,2,1,1,0,424,542,78,6,42,24,6,0,5,3,2,21,104,10,30,0,0,30,19,7,4,8,59
Jun-13,0,0,0,0,0,5,4,1,10,3,7,68,13,55,36,12,18,6,8,6,2,12,8,4,0,0,0,2,0,2,141,64,35,29,19,129,0,0,0,0,2,127,116,19,97,1,0,1,0,329,470,75,6,43,25,1,0,8,5,3,5,88,6,73,0,0,73,23,12,4,7,102
Jul-13,0,0,0,0,0,6,4,2,7,7,0,71,11,60,42,14,23,5,15,15,0,7,3,4,1,0,1,3,0,3,152,63,44,19,21,174,0,0,0,0,0,174,142,18,124,4,0,4,0,404,556,90,6,49,29,6,0,8,5,3,27,125,7,15,1,0,14,27,7,3,17,49
Aug-13,1,0,0,0,1,2,2,0,6,6,0,84,16,68,38,5,29,4,13,12,1,14,6,8,0,0,0,0,0,0,158,64,42,22,21,171,0,0,0,0,0,171,137,24,113,1,0,1,0,394,552,100,6,54,36,4,0,6,2,4,9,115,3,74,0,0,74,40,21,5,14,117
Sep-13,0,0,0,0,0,3,2,1,21,21,0,86,19,67,50,20,26,4,17,14,3,12,5,7,1,0,1,4,0,4,194,86,74,12,16,130,0,0,0,0,0,130,127,10,117,0,0,0,0,359,553,76,0,41,31,4,0,4,4,0,4,84,5,103,0,0,103,29,13,3,13,137
Oct-13,4,0,0,0,4,20,20,0,1,1,0,74,15,59,51,21,22,8,24,22,2,17,9,8,0,0,0,3,0,3,194,94,72,22,18,137,0,0,0,0,0,137,125,17,108,0,0,0,0,374,568,61,9,34,17,1,0,8,6,2,14,83,4,44,0,0,44,25,12,3,10,73
Nov-13,0,0,0,0,0,7,7,0,10,10,0,92,18,74,58,22,31,5,29,25,4,9,5,4,3,0,3,4,1,3,212,80,51,29,29,167,0,0,0,0,2,165,162,35,127,3,0,3,0,441,653,100,3,57,36,3,1,7,6,1,9,116,6,20,0,0,20,26,8,3,15,52
Dec-13,0,0,0,0,0,6,4,2,4,4,0,118,28,90,46,23,18,5,22,17,5,20,10,10,1,0,1,2,0,2,219,118,93,25,25,244,0,0,0,0,2,242,223,46,177,2,0,2,0,612,831,108,23,48,32,4,1,11,10,1,15,134,15,34,0,0,34,24,13,2,9,73
Jan-14,1,1,0,0,0,4,4,0,3,3,0,97,15,82,48,20,23,5,16,12,4,12,4,8,1,0,1,8,0,8,190,229,189,40,37,246,0,0,0,0,1,245,191,34,157,3,0,3,0,706,896,87,9,37,38,3,0,15,10,5,13,115,16,37,0,0,37,49,29,8,12,102
Feb-14,0,0,0,0,0,6,5,1,0,0,0,85,13,72,46,19,22,5,12,9,3,9,3,6,0,0,0,3,1,2,161,117,84,33,23,210,0,0,0,0,1,209,161,27,134,0,0,0,0,511,672,61,11,28,16,5,1,4,3,1,20,85,2,29,0,0,29,35,18,5,12,66
Mar-14,0,0,0,0,0,7,5,2,1,1,0,98,21,77,47,12,32,3,13,10,3,10,5,5,1,0,1,1,1,0,178,162,107,55,31,236,0,0,0,0,2,234,189,35,154,2,0,2,0,620,798,99,5,49,39,5,1,15,9,6,17,131,5,37,1,0,36,49,23,17,9,91
Apr-14,1,0,1,0,0,8,8,0,6,6,0,90,21,69,55,16,33,6,19,14,5,6,3,3,0,0,0,2,0,2,187,126,89,37,20,192,0,0,0,0,0,192,148,24,124,6,0,6,0,492,679,81,8,46,23,3,1,12,10,2,17,110,6,34,0,0,34,19,10,1,8,59
May-14,0,0,0,0,0,17,17,0,3,3,0,94,19,75,35,11,20,4,7,7,0,11,6,5,1,0,1,4,2,2,172,152,101,51,29,180,0,0,0,0,2,178,154,31,123,2,0,2,0,517,689,107,9,54,37,6,1,6,2,4,21,134,12,31,0,0,31,28,14,1,13,71
Jun-14,2,2,0,0,0,4,4,0,6,6,0,69,8,61,39,18,19,2,8,4,4,6,3,3,0,0,0,1,0,1,135,124,94,30,20,256,0,0,0,0,2,254,155,25,130,7,0,6,1,562,697,113,11,62,36,2,2,13,10,3,19,145,9,14,1,0,13,31,15,4,12,54
Jul-14,1,0,0,0,1,6,4,2,10,9,1,80,21,59,35,13,19,3,10,6,4,11,8,3,0,0,0,1,0,1,154,111,71,40,21,194,0,0,0,0,2,192,132,20,112,5,0,5,0,463,617,107,2,68,32,5,0,7,6,1,11,125,6,43,1,0,42,26,13,2,11,75
Aug-14,0,0,0,0,0,8,5,3,8,8,0,84,16,68,53,12,35,6,7,5,2,15,8,7,1,1,0,4,0,4,180,117,87,30,13,176,0,0,0,0,0,176,113,24,89,6,0,6,0,425,605,135,8,71,52,3,1,5,3,2,6,146,1,35,0,0,35,34,14,7,13,70
Sep-14,1,1,0,0,0,4,3,1,2,0,2,100,19,81,45,17,23,5,8,6,2,16,4,12,1,0,1,4,0,4,181,151,118,33,17,213,0,0,0,0,0,213,136,33,103,1,0,1,0,518,699,95,2,55,37,1,0,6,4,2,10,111,4,39,0,0,39,43,21,2,20,86
Oct-14,0,0,0,0,0,11,10,1,11,11,0,90,11,79,48,15,32,1,11,6,5,12,4,8,1,0,1,3,0,3,187,141,122,19,34,186,0,0,0,0,0,186,123,32,91,3,1,2,0,487,674,150,15,74,51,9,1,16,11,5,33,199,3,48,0,0,48,35,16,4,15,86
Nov-14,0,0,0,0,0,4,4,0,9,8,1,66,13,53,35,19,12,4,9,6,3,10,5,5,0,0,0,3,0,3,136,149,113,36,31,209,0,0,0,0,1,208,128,21,107,7,0,6,1,524,660,134,10,71,47,6,0,7,6,1,15,156,8,145,0,0,145,43,24,5,14,196
Dec-14,0,0,0,0,0,10,6,4,1,0,1,97,11,86,44,12,29,3,13,11,2,5,4,1,0,0,0,2,0,2,172,171,140,31,21,227,0,0,0,0,0,227,160,30,130,2,0,2,0,581,753,120,8,54,48,8,2,5,5,0,17,142,16,150,0,0,150,42,25,5,12,208
Jan-15,0,0,0,0,0,9,6,3,9,9,0,122,28,94,51,21,29,1,8,4,4,8,2,6,0,0,0,0,0,0,207,209,154,55,33,300,0,0,0,0,1,299,188,30,158,10,4,6,0,740,947,103,4,49,45,4,1,9,8,1,20,132,8,19,1,0,18,52,32,2,18,79
Feb-15,0,0,0,0,0,6,5,1,6,6,0,92,23,69,62,20,38,4,10,8,2,8,2,6,0,0,0,4,1,3,188,172,126,46,43,252,0,0,0,0,2,250,214,39,175,1,0,1,0,682,870,98,5,50,36,7,0,10,8,2,12,120,5,20,0,0,20,43,15,8,20,68
Mar-15,0,0,0,0,0,8,8,0,1,1,0,102,30,72,50,21,27,2,9,5,4,11,6,5,2,0,2,3,1,2,186,207,159,48,38,247,0,0,0,0,0,247,155,28,127,3,0,3,0,650,836,97,13,41,39,2,2,6,4,2,14,117,9,47,0,0,47,55,30,6,19,111
Apr-15,0,0,0,0,0,2,2,0,0,0,0,67,14,53,38,15,20,3,6,5,1,8,2,6,1,0,1,2,0,2,124,228,188,40,48,319,0,0,0,0,1,318,150,25,125,4,0,4,0,749,873,111,22,52,35,2,0,19,17,2,14,144,4,16,0,0,16,31,21,4,6,51
May-15,1,0,0,0,1,4,4,0,1,1,0,63,13,50,39,9,26,4,7,2,5,7,2,5,0,0,0,4,0,4,126,225,152,73,33,287,0,0,0,0,0,287,189,28,161,3,0,2,1,737,863,108,7,55,40,6,0,15,12,3,22,145,12,28,0,0,28,29,14,5,10,69
Jun-15,0,0,0,0,0,7,6,1,2,2,0,59,7,52,43,9,31,3,14,9,5,4,0,4,0,0,0,2,0,2,131,146,106,40,19,218,0,0,0,0,0,218,134,25,109,1,0,1,0,518,649,125,14,63,44,3,1,7,6,1,10,142,1,41,0,0,41,33,24,3,6,75
Jul-15,1,1,0,0,0,3,3,0,18,17,1,55,10,45,32,12,19,1,13,10,3,5,3,2,2,0,2,2,0,2,131,134,92,42,32,201,0,0,0,0,0,201,152,24,128,2,0,1,1,521,652,136,18,71,43,4,0,11,8,3,17,164,7,47,0,0,47,37,19,4,14,91
Aug-15,4,1,0,0,3,2,2,0,7,6,1,82,9,73,37,12,19,6,11,5,6,7,3,4,0,0,0,2,0,2,152,148,118,30,19,208,0,0,0,0,0,208,168,32,136,4,0,4,0,547,699,141,10,74,49,8,0,7,3,4,11,159,3,32,0,0,32,41,26,5,10,76
Sep-15,0,0,0,0,0,5,4,1,4,4,0,72,9,63,37,9,26,2,17,15,2,9,2,7,0,0,0,5,1,4,149,116,92,24,18,201,0,0,0,0,1,200,126,28,98,2,1,1,0,463,612,146,26,63,50,7,0,6,6,0,13,165,1,39,0,0,39,44,26,5,13,84
Oct-15,0,0,0,0,0,5,5,0,0,0,0,85,20,65,50,19,17,14,10,7,3,9,2,7,0,0,0,1,0,1,160,151,111,40,13,212,0,0,0,0,1,211,147,33,114,4,2,2,0,527,687,118,7,66,43,2,0,5,3,2,17,140,2,25,0,0,25,40,22,2,16,67
Nov-15,3,0,0,1,2,4,3,1,1,0,1,66,14,52,48,9,37,2,6,6,0,17,6,11,0,0,0,2,0,2,147,150,105,45,14,223,0,0,0,0,0,223,134,30,104,4,1,3,0,525,672,94,12,46,29,4,3,8,7,1,18,120,4,63,0,0,63,48,33,3,12,115
Dec-15,0,0,0,0,0,1,0,1,3,3,0,106,30,76,51,23,21,7,9,5,4,13,5,8,1,0,1,5,2,3,189,171,133,38,28,196,0,0,0,0,1,195,172,34,138,4,0,3,1,571,760,178,92,48,35,2,1,6,4,2,16,200,4,63,0,0,63,46,26,6,14,113
Jan-16,1,0,0,0,1,1,1,0,10,10,0,88,13,75,32,16,15,1,7,4,3,12,2,10,0,0,0,4,0,4,155,180,135,45,26,201,0,0,0,0,0,201,147,31,116,1,0,1,0,555,710,109,12,55,42,0,0,2,1,1,14,125,5,27,0,0,27,24,14,1,9,56
Feb-16,0,0,0,0,0,3,3,0,2,2,0,92,14,78,43,15,23,5,15,8,7,5,0,5,0,0,0,1,0,1,161,176,119,57,28,203,0,0,0,0,2,201,146,23,123,0,0,0,0,553,714,124,7,56,58,3,0,9,8,1,5,138,6,43,1,0,42,121,108,1,12,170
Mar-16,0,0,0,0,0,16,15,1,14,7,7,102,28,74,55,24,27,4,12,7,5,13,4,9,0,0,0,9,1,8,221,215,172,43,29,198,0,0,0,0,1,197,143,29,114,2,0,2,0,587,808,162,5,80,69,7,1,10,9,1,26,198,5,120,0,0,120,48,27,5,16,173
Apr-16,0,0,0,0,0,3,3,0,6,6,0,84,22,62,35,13,21,1,12,9,3,12,4,8,1,0,1,3,1,2,156,219,153,66,35,231,0,0,0,0,0,231,153,34,119,3,0,3,0,641,797,125,14,59,47,4,1,12,10,2,15,152,4,74,0,0,74,47,30,6,11,125
May-16,0,0,0,0,0,11,10,1,0,0,0,67,17,50,39,11,24,4,6,4,2,12,7,5,1,0,1,5,1,4,141,181,125,56,20,193,0,0,0,0,0,193,146,27,119,2,0,2,0,542,683,180,13,84,74,7,2,9,8,1,15,204,9,15,0,0,15,53,25,18,10,77
Jun-16,0,0,0,0,0,10,7,3,20,15,5,66,16,50,34,11,20,3,6,6,0,7,6,1,0,0,0,2,1,1,145,138,110,28,16,187,0,0,0,0,1,186,123,18,105,8,3,5,0,472,617,137,13,64,57,2,1,7,4,3,21,165,6,12,0,0,12,35,14,5,16,53
Jul-16,2,0,0,0,2,6,4,2,2,2,0,55,10,45,30,14,12,4,7,6,1,13,8,5,2,0,2,1,0,1,118,92,66,26,14,199,0,0,0,0,0,199,146,31,115,2,0,2,0,453,571,138,11,61,62,3,1,9,8,1,10,157,7,17,1,0,16,61,34,9,18,85
Aug-16,0,0,0,0,0,18,9,9,1,1,0,72,21,51,30,8,18,4,10,7,3,8,2,6,0,0,0,1,0,1,140,139,91,48,20,201,0,0,0,0,1,200,140,26,114,1,0,1,0,501,641,209,24,103,72,9,1,3,2,1,34,246,2,23,0,0,23,64,46,6,12,89
Sep-16,0,0,0,0,0,6,4,2,5,5,0,67,13,54,26,12,12,2,7,5,2,12,6,6,0,0,0,0,0,0,123,132,83,49,11,201,0,0,0,0,0,201,138,23,115,4,0,4,0,486,609,136,16,56,59,4,1,5,3,2,10,151,1,32,0,0,32,28,22,2,4,61
Oct-16,0,0,0,0,0,11,4,7,0,0,0,75,19,56,39,16,22,1,9,8,1,8,1,7,1,0,1,0,0,0,143,121,77,44,23,223,0,0,0,0,0,223,181,45,136,5,0,5,0,553,696,85,6,40,36,3,0,6,6,0,15,106,3,73,0,0,73,36,16,8,12,112
Nov-16,2,0,2,0,0,6,3,3,12,12,0,105,23,82,59,18,36,5,10,9,1,3,1,2,2,0,2,1,0,1,200,122,89,33,11,217,0,0,0,0,1,216,151,32,119,7,1,5,1,508,708,163,18,68,69,3,5,12,10,2,11,186,12,25,0,0,25,127,107,4,16,164
Dec-16,0,0,0,0,0,6,5,1,2,2,0,104,23,81,53,19,29,5,7,5,2,18,8,10,0,0,0,3,1,2,193,124,88,36,13,189,0,0,0,0,1,188,192,56,136,1,1,0,0,519,712,115,10,58,43,4,0,4,3,1,20,139,6,20,0,0,20,167,145,9,13,193
Jan-17,1,0,0,0,1,6,4,2,10,10,0,97,14,83,65,24,32,9,11,9,2,10,6,4,1,0,1,4,0,4,205,152,124,28,18,257,0,0,0,0,0,257,212,40,172,10,0,8,2,649,854,231,120,60,48,3,0,16,14,2,19,266,3,16,0,0,16,48,16,10,22,67
Feb-17,0,0,0,0,0,4,4,0,0,0,0,90,17,73,45,15,23,7,20,10,10,12,5,7,1,0,1,2,0,2,174,152,111,41,25,247,0,0,0,0,0,247,163,35,128,1,0,1,0,588,762,106,6,52,47,1,0,10,4,6,8,124,3,18,0,0,18,44,20,3,21,65
Mar-17,0,0,0,0,0,10,6,4,2,2,0,99,20,79,35,17,13,5,24,20,4,11,4,7,1,0,1,2,0,2,184,186,133,53,29,205,0,0,0,0,0,205,144,21,123,1,0,1,0,565,749,257,70,99,79,6,3,19,11,8,34,310,12,53,2,0,51,69,47,3,19,134
Apr-17,2,0,0,0,2,1,1,0,0,0,0,90,24,66,43,18,24,1,16,14,2,13,9,4,1,0,1,5,2,3,171,105,84,21,16,205,0,0,0,0,0,205,154,24,130,2,1,1,0,482,653,109,5,60,42,1,1,4,3,1,10,123,5,8,0,0,8,34,20,4,10,47
May-17,0,0,0,0,0,11,10,1,12,11,1,72,18,54,51,15,30,6,7,5,2,17,9,8,2,0,2,2,0,2,174,114,92,22,10,217,0,0,0,0,1,216,128,28,100,3,0,3,0,472,646,113,10,47,42,3,11,4,3,1,11,128,2,28,1,0,27,43,27,5,11,73
Jun-17,0,0,0,0,0,3,2,1,6,6,0,73,8,65,30,12,18,0,11,8,3,13,4,9,0,0,0,4,0,4,140,113,92,21,14,180,27,35,37,44,0,37,127,29,98,8,0,7,1,442,582,113,9,55,47,2,0,8,6,2,14,135,0,10,0,1,9,33,14,16,3,43
Jul-17,1,0,0,0,1,5,5,0,12,10,2,66,14,52,31,11,15,5,15,15,0,7,2,5,0,0,0,7,0,7,144,117,82,35,12,155,37,38,39,41,0,0,137,27,110,2,0,2,0,423,567,133,10,62,54,7,0,10,7,3,12,155,3,44,0,43,1,29,16,2,11,76
Aug-17,0,0,0,0,0,28,6,22,5,5,0,69,16,53,31,10,18,3,19,12,7,5,2,3,0,0,0,0,0,0,157,195,167,28,25,165,53,33,34,45,0,0,162,25,137,5,0,4,1,552,709,146,11,81,50,2,2,18,14,4,16,180,5,36,0,19,17,36,22,2,12,77
Sep-17,1,0,0,0,1,6,6,0,3,3,0,77,12,65,59,24,28,7,16,12,4,24,11,13,0,0,0,4,0,4,190,162,133,29,12,164,32,32,31,68,1,0,163,53,110,5,1,3,1,506,696,141,10,69,54,6,2,17,15,2,17,175,1,7,0,1,6,94,59,2,33,102
Oct-17,0,0,0,0,0,7,7,0,7,7,0,82,16,66,48,11,32,5,11,10,1,14,5,9,1,0,1,3,0,3,173,144,102,42,12,174,43,43,31,56,1,0,135,26,109,6,2,3,1,471,644,167,11,85,66,4,1,12,11,1,30,209,11,57,1,39,17,53,38,4,11,121
Nov-17,1,0,1,0,0,14,12,2,5,5,0,92,21,71,47,13,27,7,10,8,2,11,9,2,4,0,4,1,0,1,185,137,106,31,18,198,52,50,42,53,1,0,150,37,113,3,0,3,0,506,691,118,8,62,42,4,2,9,9,0,6,133,3,23,0,20,3,35,17,6,12,61
Dec-17,0,0,0,0,0,15,15,0,2,2,0,125,28,97,54,17,28,9,16,11,5,15,5,10,0,0,0,0,0,0,227,109,88,21,6,130,25,26,29,49,1,0,132,26,106,2,0,2,0,379,606,139,2,77,50,6,4,10,10,0,10,159,1,40,2,34,4,44,21,1,22,85
